TestDataID,Rating
1,4.30655
2,4.27738
3,4.16572
4,2.42014
5,3.4158
6,3.62582
7,4.53509
8,2.72223
9,3.20865
10,2.97805
11,4.04648
12,3.89494
13,3.28808
14,3.60451
15,2.87369
16,3.51086
17,3.73886
18,3.68979
19,3.90515
20,3.2287
21,3.51462
22,4.38406
23,4.37718
24,2.92181
25,4.0115
26,3.17568
27,3.75618
28,3.50866
29,2.02676
30,3.21582
31,2.55907
32,3.14321
33,3.39657
34,2.87243
35,4.16684
36,3.88944
37,3.95524
38,2.65894
39,3.39716
40,1.99364
41,3.66892
42,3.97553
43,2.54909
44,4.38796
45,3.81953
46,3.75241
47,3.4442
48,3.94266
49,3.80357
50,3.65188
51,3.72036
52,3.29331
53,4.01746
54,4.88932
55,4.13726
56,3.15936
57,4.1542
58,2.41632
59,3.60027
60,3.74683
61,3.46783
62,4.02952
63,3.95008
64,4.1013
65,4.43032
66,3.83862
67,3.78347
68,4.16144
69,3.39076
70,4.29279
71,3.4451
72,4.48427
73,3.0998
74,3.96388
75,2.85354
76,2.94718
77,4.12578
78,3.97867
79,4.23621
80,4.33322
81,4.44304
82,4.17155
83,4.30772
84,4.61801
85,4.82885
86,3.56854
87,4.60574
88,4.05141
89,4.21796
90,4.0323
91,4.17397
92,4.05231
93,4.07259
94,4.54264
95,4.13323
96,4.36421
97,4.13932
98,4.39237
99,3.83955
100,4.52145
101,3.67973
102,3.89849
103,4.98776
104,3.77264
105,4.2104
106,4.23213
107,3.78459
108,4.58173
109,3.134
110,3.90096
111,4.79264
112,4.45068
113,4.7127
114,3.33036
115,3.95303
116,2.16068
117,4.08166
118,3.26065
119,3.32309
120,2.60897
121,2.36876
122,3.13974
123,4.55844
124,2.53023
125,2.70947
126,4.341
127,4.3805
128,4.33376
129,3.65095
130,2.68266
131,3.35904
132,4.02052
133,4.05599
134,4.49064
135,2.43962
136,4.13034
137,3.61974
138,3.69159
139,3.92379
140,3.09621
141,2.66668
142,3.44811
143,3.58274
144,3.00268
145,3.25533
146,3.06314
147,3.89923
