id,label
0,0
1,3
2,0
3,6
4,3
5,3
6,4
7,4
8,4
9,5
10,3
11,0
12,4
13,2
14,4
15,5
16,5
17,5
18,5
19,3
20,6
21,0
22,4
23,4
24,0
25,0
26,4
27,4
28,2
29,5
30,3
31,6
32,3
33,6
34,0
35,4
36,4
37,2
38,6
39,3
40,0
41,4
42,0
43,4
44,4
45,3
46,5
47,3
48,5
49,6
50,6
51,3
52,5
53,3
54,2
55,3
56,2
57,2
58,5
59,3
60,6
61,3
62,4
63,3
64,5
65,3
66,5
67,6
68,0
69,3
70,4
71,5
72,0
73,3
74,2
75,6
76,5
77,6
78,4
79,4
80,4
81,6
82,0
83,4
84,5
85,4
86,3
87,3
88,5
89,3
90,6
91,0
92,3
93,6
94,0
95,0
96,5
97,3
98,3
99,0
100,3
101,6
102,0
103,3
104,2
105,3
106,6
107,6
108,2
109,4
110,3
111,3
112,0
113,6
114,3
115,2
116,3
117,3
118,2
119,6
120,5
121,0
122,1
123,2
124,4
125,6
126,3
127,4
128,3
129,5
130,2
131,6
132,2
133,6
134,0
135,5
136,5
137,6
138,6
139,6
140,6
141,3
142,0
143,4
144,2
145,4
146,3
147,3
148,3
149,2
150,3
151,0
152,5
153,3
154,5
155,5
156,6
157,5
158,0
159,3
160,0
161,3
162,3
163,3
164,6
165,6
166,6
167,0
168,5
169,3
170,6
171,3
172,5
173,6
174,0
175,6
176,0
177,2
178,4
179,5
180,6
181,3
182,5
183,3
184,3
185,6
186,2
187,3
188,3
189,3
190,4
191,6
192,2
193,5
194,3
195,4
196,5
197,6
198,0
199,0
200,3
201,3
202,3
203,3
204,3
205,2
206,4
207,4
208,2
209,5
210,6
211,0
212,0
213,2
214,0
215,5
216,5
217,4
218,3
219,3
220,3
221,4
222,5
223,6
224,0
225,3
226,5
227,6
228,0
229,3
230,0
231,4
232,5
233,3
234,3
235,3
236,3
237,0
238,2
239,4
240,3
241,6
242,6
243,0
244,1
245,6
246,3
247,3
248,0
249,4
250,4
251,2
252,6
253,2
254,3
255,6
256,5
257,4
258,2
259,6
260,4
261,0
262,0
263,6
264,2
265,3
266,2
267,3
268,3
269,4
270,0
271,4
272,5
273,6
274,2
275,3
276,4
277,2
278,1
279,6
280,3
281,2
282,6
283,2
284,4
285,4
286,2
287,0
288,6
289,3
290,6
291,3
292,6
293,4
294,3
295,4
296,2
297,6
298,6
299,3
300,4
301,4
302,3
303,3
304,2
305,6
306,5
307,3
308,3
309,3
310,3
311,0
312,4
313,0
314,1
315,4
316,4
317,2
318,2
319,3
320,4
321,4
322,3
323,6
324,4
325,4
326,6
327,3
328,3
